id,energy,danceability,liveness,valence,duration,acousticness,speechiness
1,89,67,8,80,217,19,4
2,93,75,52,64,263,24,23
3,84,76,29,71,200,10,14
4,92,70,8,71,,0,4
5,84,64,9,43,221,2,4
6,86,,11,54,,4,14
7,78,75,4,82,203,0,9
8,76,52,12,38,225,7,4
9,37,48,12,14,216,74,3
10,72,79,7,61,235,13,4
11,87,62,6,47,235,3,3
12,83,62,10,48,230,33,4
13,82,77,70,63,213,18,5
14,83,83,11,71,221,1,4
15,84,44,12,78,217,1,45
16,75,78,36,33,269,20,3
17,61,,11,83,,5,3
18,81,82,60,44,308,7,7
19,80,63,36,37,,0,5
20,61,83,9,76,187,1,10
21,63,80,32,40,284,0,7
22,68,,6,45,,1,5
23,68,73,9,74,215,0,3
24,81,70,22,73,216,0,4
25,95,53,28,65,238,26,5
26,83,48,38,74,212,0,4
27,90,61,5,88,203,2,5
28,94,65,6,73,231,2,9
29,80,72,13,59,228,2,4
30,75,79,18,40,235,0,5
31,71,70,14,79,213,5,5
32,89,,36,83,,1,8
33,84,75,42,52,,8,12
34,52,60,31,41,258,18,37
35,82,50,13,55,249,16,11
36,63,81,13,80,196,8,5
37,41,29,13,7,264,83,3
38,91,65,37,79,228,1,11
39,91,72,43,84,269,2,10
40,81,50,12,26,253,3,9
41,85,51,12,72,185,47,27
42,41,71,10,10,,4,3
43,75,31,65,16,251,1,11
44,87,80,9,85,193,19,7
45,39,23,14,7,257,85,4
46,81,76,56,54,186,0,4
47,95,64,18,57,220,6,7
48,86,66,8,65,221,3,11
49,86,45,26,58,329,7,39
50,90,67,8,63,186,0,3
51,98,67,10,45,,1,3
52,41,42,11,16,285,31,3
53,33,56,10,28,285,89,3
54,94,67,30,53,252,19,16
55,84,64,9,43,221,2,4
56,76,73,5,52,228,13,3
57,90,73,37,76,236,0,14
58,76,72,32,62,201,1,5
59,75,65,60,65,267,8,9
60,56,71,12,23,,15,6
61,78,69,16,81,200,8,12
62,93,58,14,88,221,0,5
63,83,59,33,49,260,0,16
64,69,63,67,10,379,0,20
65,83,62,10,48,230,33,4
66,65,55,9,30,254,14,3
67,74,75,27,35,262,2,16
68,82,74,12,65,205,1,4
69,83,64,27,68,223,3,18
70,69,63,13,65,253,8,5
71,63,66,11,26,219,19,18
72,78,73,7,57,285,11,5
73,79,69,8,58,263,23,7
74,88,71,9,70,242,0,4
75,61,61,16,40,208,23,3
76,86,71,19,80,199,10,32
77,77,58,11,36,321,0,4
78,87,62,37,76,230,2,18
79,71,69,20,45,238,2,7
80,55,70,33,79,210,0,4
81,73,75,7,81,220,0,4
82,70,,9,52,,9,5
83,93,66,27,53,249,0,7
84,89,65,12,32,232,3,5
85,88,70,13,66,197,0,3
86,77,73,11,60,215,3,4
87,88,61,46,38,265,0,6
88,38,30,7,26,274,38,3
89,72,65,24,39,229,1,4
90,75,59,8,70,200,2,14
91,81,71,37,89,223,13,6
92,91,,29,73,,2,4
93,81,82,5,89,257,5,5
94,95,64,18,57,220,6,7
95,35,35,12,9,247,73,3
96,86,45,26,58,329,7,39
97,38,30,11,19,255,91,3
98,74,77,40,59,201,6,23
99,64,68,12,56,208,0,12
100,88,73,32,69,201,2,7
101,88,50,22,37,279,39,38
102,81,65,67,72,231,0,4
103,83,64,11,65,228,14,5
104,72,80,19,53,227,56,33
105,79,60,13,30,245,7,10
106,70,73,31,87,233,5,4
107,59,45,8,20,279,5,3
108,75,74,29,55,231,2,4
109,79,73,6,89,200,1,7
110,47,62,3,68,220,0,4
111,58,78,11,66,193,1,4
112,68,86,7,92,188,8,5
113,68,61,13,47,242,0,3
114,68,63,12,75,,1,9
115,94,,11,68,,5,5
116,63,67,9,55,248,0,3
117,72,75,25,75,211,14,8
118,82,72,8,62,220,6,3
119,87,56,37,68,206,2,14
120,85,,11,45,,3,6
121,84,60,7,53,228,0,6
122,86,67,34,65,227,1,5
123,74,67,9,39,277,2,5
124,55,72,13,33,171,4,5
125,92,68,7,77,216,0,4
126,55,76,4,78,232,1,3
127,85,72,22,44,243,0,9
128,68,51,39,57,221,7,4
129,80,69,16,88,227,0,4
130,86,79,10,71,237,2,7
131,84,59,16,64,228,0,10
132,80,68,13,78,211,3,4
133,64,38,8,74,251,2,8
134,71,56,11,39,225,0,5
135,96,72,38,95,206,1,9
136,72,70,13,86,200,50,4
137,80,65,27,80,211,3,10
138,84,58,8,48,258,34,5
139,92,60,25,75,256,0,4
140,81,51,21,69,230,0,5
141,78,,16,64,,0,5
142,66,60,12,29,245,23,5
143,55,78,13,44,243,35,5
144,87,42,12,63,203,7,6
145,77,55,35,46,,0,4
146,62,61,37,48,231,1,3
147,84,61,12,44,213,11,5
148,81,79,10,86,,4,4
